"","zipcode","year","state","county","city","appreciation","price","rent","revenue"
"875","28031","2022","NC","Mecklenburg County","Cornelius",9.9,406882.77,18208.8,0.143751956441901
"876","21234","2022","MD","Baltimore County","Parkville",7.2,260116.512,18662.4,0.143746310361105
"877","95605","2022","CA","Yolo County","West Sacramento",7.9,379397.1168,24542.4,0.143687892746791
"878","29464","2022","SC","Charleston County","Mount Pleasant",10.8,613387.9136,21885.6,0.14367986834229
"879","98006","2022","WA","King County","Bellevue",11.7,1325967.4664,35335.2,0.143648617628557
"880","32819","2022","FL","Orange County","Doctor Phillips",9,401062.448,21496.8,0.143599632942948
"881","10606","2022","NY","Westchester County","White Plains",9.6,686330.7632,32668.8,0.143599206900886
"882","19144","2022","PA","Philadelphia County","Philadelphia",6.4,199005.0272,15840,0.143595979171324
"883","92374","2022","CA","San Bernardino County","Redlands",8.5,463151.129,27103.2,0.143519127565378
"884","29605","2022","SC","Greenville County","Greenville",7.5,220807.365,15105.6,0.143410761570385
"885","98373","2022","WA","Pierce County","Puyallup",10.1,506928.5856,21487.2,0.143387035591153
"886","92021","2022","CA","San Diego County","El Cajon",11,671572.2,22420.8,0.143385539187
"887","92868","2022","CA","Orange County","Orange",10.3,748263.7288,30196.8,0.143355824875311
"888","80127","2022","CO","Jefferson County","Ken Caryl",10.2,638333.2796,26368.8,0.14330882854255
"889","91702","2022","CA","Los Angeles County","Azusa",9.7,596317.133,27595.2,0.143276047547338
"890","28117","2022","NC","Iredell County","Mooresville",10.4,477364.7424,18727.2,0.143230379491051
"891","87124","2022","NM","Sandoval County","Rio Rancho",9.2,261487.4808,13377.6,0.143159619416854
"892","94553","2022","CA","Contra Costa County","Martinez",10.4,759421.0656,29661.6,0.143058173842683
"893","30909","2022","GA","Richmond County","Augusta",7.8,213007.1944,13852.8,0.143034423081439
"894","78260","2022","TX","Bexar County","San Antonio",10.4,441099.2256,17200.8,0.14299530763538
"895","95628","2022","CA","Sacramento County","Fair Oaks",10.2,591614.4304,24194.4,0.142895554193365
"896","92886","2022","CA","Orange County","Yorba Linda",10.5,1040105.118,39369.6,0.142851558769082
"897","85012","2022","AZ","Maricopa County","Phoenix",11.7,637880.9454,16459.2,0.142802934103446
"898","27615","2022","NC","Wake County","Raleigh",10.4,432857.2032,16744.8,0.142684351042815
"899","19127","2022","PA","Philadelphia County","Philadelphia",7,314557.102,22860,0.142673609512082
"900","75075","2022","TX","Collin County","Plano",10.3,401076.6102,15888,0.142613379578723
"901","92122","2022","CA","San Diego County","San Diego",11,945192.306,30811.2,0.142597810841681
"902","95610","2022","CA","Sacramento County","Citrus Heights",10.2,481570.2532,19550.4,0.142597191936356
"903","77379","2022","TX","Harris County","Spring",9.6,314510.352,14628,0.142510392764433
"904","91321","2022","CA","Los Angeles County","Santa Clarita",9.8,637452.9036,28296,0.142389161677983
"905","80011","2022","CO","Arapahoe County","Aurora",9.6,407072.8128,18868.8,0.142352395460196
"906","92656","2022","CA","Orange County","Aliso Viejo",10.3,777509.7738,30542.4,0.142282335771455
"907","97266","2022","OR","Multnomah County","Portland",9.4,409167.3776,19728,0.142214987508818
"908","95630","2022","CA","Sacramento County","Folsom",10.5,721348.199,26810.4,0.142167071377134
"909","92025","2022","CA","San Diego County","Escondido",11,723108.834,23248.8,0.14215117684484
"910","92805","2022","CA","Orange County","Anaheim",10.3,721626.72,28192.8,0.142068398132486
"911","91303","2022","CA","Los Angeles County","Los Angeles",10.3,690126.3636,26949.6,0.142050239813212
"912","23608","2022","VA","Newport News City","Newport News",7.5,233937.2,15660,0.141941042296822
"913","63116","2022","MO","Saint Louis City","Saint Louis",7.6,157829.6168,10387.2,0.141812742947748
"914","23701","2022","VA","Portsmouth City","Portsmouth",7.4,209444.3916,14200.8,0.141802245223739
"915","77494","2022","TX","Harris County","Katy",9.8,406921.6548,17796,0.141733234125244
